Language	WID_PP	WID_NP
Guaraní	1.35466666666667	1.31649748747452
Guaraní	1.34570765661253	1.48099856998446
Guaraní	1.30266343825666	1.30230579535686
Guaraní	1.30155210643016	1.32803820212702
Guaraní	1.32972972972973	1.45243149872874
Guaraní	1.3459595959596	1.27672932147832
Guaraní	1.30155210643016	1.29147976314666
Guaraní	1.39480519480519	1.14874017319885
Guaraní	1.28255528255528	1.24418873351008
Guaraní	1.38403990024938	1.51082014243715
Guaraní	1.41463414634146	1.10943823041879
Guaraní	1.30892448512586	1.14279667741635
Guaraní	1.28871391076115	1.35801894912565
Guaraní	1.38403990024938	1.43083495143769
Guaraní	1.32258064516129	1.10335048347224
Guaraní	1.36470588235294	1.37864127293881
Guaraní	1.39953810623557	1.1694156769628
Guaraní	1.21296296296296	1.29480679213639
Hausa	1.08547008547009	1.31798238569761
Hausa	1.07446808510638	1.14050903621179
Hausa	0.977981651376147	0.916595028157308
Hausa	1.08385744234801	1.23888490961089
Hausa	1.04690831556503	1.20748664519256
Hausa	1.04609218436874	1.14378400659824
Hausa	1.10337552742616	1.12230713579238
Hausa	1.06189555125725	1.07600086031373
Hausa	1.1003937007874	1.14801219453789
Hausa	1.10733452593918	0.785955911349612
Hausa	1.0548885077187	1.01317250989115
Hausa	1.06273764258555	1.02276398450157
Hausa	1.11669658886894	0.848159329519502
Hausa	1.08385744234801	1.050526072691
Hausa	1.06157112526539	1.01236582924711
Hausa	1.04914933837429	1.0338676303773
Hausa	1.08745247148289	0.917176895773501
Hausa	1.07722772277228	1.20184870548735
Hausa	1.09746588693957	0.928022499848248
Hausa	1.11385199240987	1.01372021553976
Hindi	0.996146435452794	1.13572597856637
Hindi	1.06336633663366	1.0818213723837
Hindi	0.910652920962199	0.838980232211567
Hindi	0.99294532627866	1.05111349834093
Hindi	1.04225352112676	1.12691264755879
Hindi	0.986394557823129	1.03779983704344
Hindi	1.00383141762452	0.985545264927833
Hindi	1.00594059405941	0.961290879337647
Hindi	1.06336633663366	0.991122611060411
Hindi	0.92	0.990400105506816
Hindi	0.954887218045113	0.959621236948671
Hindi	1.08250825082508	0.900188701927312
Hindi	0.977981651376147	0.926774744151025
Hindi	1.03374777975133	1.03185387050422
Hindi	1.04263565891473	0.952333255044866
Hindi	1.05017921146953	0.941285001438997
Hindi	1.00383141762452	1.02939463861359
Hindi	0.970219435736677	0.793062904069049
Hindi	0.954887218045113	0.903749200228007
Hindi	1.01795332136445	0.969458879147365
Indonesian	1.08284023668639	1.39413381631398
Indonesian	1.11648351648352	1.34236057399185
Indonesian	1.13530655391121	0.933590689576033
Indonesian	1.12873563218391	1.53528868573641
Indonesian	1.0515873015873	1.00157876023231
Indonesian	1.15247524752475	1.2969354363116
Indonesian	1.11669658886894	0.848159329519502
Indonesian	1.0659793814433	0.956510892175423
Indonesian	1.08543689320388	1.0846531834847
Indonesian	1.10828025477707	1.04127267539906
Indonesian	1.09719222462203	1.13286462520042
Indonesian	1.0659793814433	1.09095466058955
Indonesian	1.05482041587902	0.889818570233097
Indonesian	1.10311284046693	1.04471231431537
Indonesian	1.13707865168539	1.15442314903881
Indonesian	1.08849557522124	1.04516354638485
Indonesian	1.06534653465347	1.02886902107835
Indonesian	1.12403100775194	1.17030849814658
Indonesian	1.0659793814433	0.973309140982058
Indonesian	1.08284023668639	1.19182780542064
Jakaltek	0.746666666666667	0.895549256638994
Jakaltek	0.876288659793814	1.12790362300129
Jakaltek	0.817275747508306	0.933634397756532
Jakaltek	0.881703470031546	0.989429610920102
Jakaltek	0.892234548335975	0.800901644595303
Jakaltek	0.892234548335975	0.902947142310884
Jakaltek	0.881703470031546	0.775968146606709
Jakaltek	0.847107438016529	0.753013088381668
Jakaltek	0.879456706281834	1.04253711902729
Jakaltek	0.7856	0.843175311196306
Jakaltek	0.784977908689249	0.804520381832955
Jakaltek	0.847682119205298	0.926547746570358
Jakaltek	0.869415807560137	0.893530835288645
Jakaltek	0.861157024793388	0.933694527832157
Jakaltek	0.876288659793814	0.861111255047759
Jakaltek	0.957345971563981	0.849152654838673
Jakaltek	0.892234548335975	0.773691150944784
Jakaltek	0.962292609351433	0.910385435645962
Jakaltek	0.86962962962963	0.741425503700944
Jakaltek	0.870870870870871	0.81725635736334
Kewa	0.933823529411765	1.10359325029101
Kewa	0.955246913580247	0.8375280925537
Kewa	0.875222816399287	0.937929404937046
Kewa	0.953271028037383	1.20914105965443
Kewa	0.946727549467275	0.777470915191541
Kewa	0.895973154362416	1.09111793827458
Kewa	1.01512287334594	0.798152775758479
Kewa	0.9812734082397	0.964337704910835
Kewa	0.930081300813008	0.890298148014586
Kewa	0.929042904290429	0.807904220442826
Kewa	0.929042904290429	0.834171161033416
Kewa	0.952299829642249	0.956830826391036
Kewa	0.944922547332186	0.956541249828286
Kewa	0.978077571669477	0.885611473202256
Kewa	0.929042904290429	0.761923813231559
Kewa	0.946587537091988	0.802669303730411
Kewa	0.995145631067961	0.92306582190556
