Language	NbS	WID	MeanWID	SdWID	TTR	MeanTTR	SdTTR	MTLD	MeanMTLD	SdMTLD	H	MeanH	SdH
Thai	1	0.846542893725992	0.846542893725992	NA	0.0633802816901408	0.0633802816901408	NA	70.2657128761278	70.2657128761278	NA	8.39813712851174	8.39813712851174	NA
Turkish	1	1.50167508943274	1.50167508943274	NA	0.297882005564704	0.297882005564704	NA	392.597349933704	392.597349933704	NA	10.7976215384922	10.7976215384922	NA
Vietnamese	1	1.01695827725437	1.01695827725437	NA	0.0666025764276101	0.0666025764276101	NA	92.8195417569845	92.8195417569845	NA	8.81170643698126	8.81170643698126	NA
Wichí	1	1.05337369553095	1.05337369553095	NA	0.117422130168087	0.117422130168087	NA	45.3300580084725	45.3300580084725	NA	8.25832465680125	8.25832465680125	NA
Yagua	1	1.2656010719755	1.2656010719755	NA	0.269381699846861	0.269381699846861	NA	153.243580196697	153.243580196697	NA	10.1723664899391	10.1723664899391	NA
Yaqui	1	0.815882026284939	0.815882026284939	NA	0.14077250570741	0.14077250570741	NA	86.7681794793225	86.7681794793225	NA	9.14372598059134	9.14372598059134	NA
Yoruba	1	0.93293822979504	0.93293822979504	NA	0.0676262038310932	0.0676262038310932	NA	47.1199054361393	47.1199054361393	NA	7.92057518872927	7.92057518872927	NA
Alamblak	5	0.870493578833359	0.88769928050175	0.0523660895940082	0.316023080337328	0.334788431172675	0.0163490980214324	95.2923012345377	104.728855401655	12.320101457126	9.28424118661887	9.33213729561486	0.11966879854395
Alamblak	5	0.825713862997485	0.88769928050175	0.0523660895940082	0.33158976274986	0.334788431172675	0.0163490980214324	101.825159090542	104.728855401655	12.320101457126	9.16508595051794	9.33213729561486	0.11966879854395
Alamblak	5	0.958527928264525	0.88769928050175	0.0523660895940082	0.355620994283735	0.334788431172675	0.0163490980214324	123.49010387295	104.728855401655	12.320101457126	9.48987921836433	9.33213729561486	0.11966879854395
Alamblak	5	0.921704486402217	0.88769928050175	0.0523660895940082	0.323688689463098	0.334788431172675	0.0163490980214324	93.2400552199683	104.728855401655	12.320101457126	9.37752615111301	9.33213729561486	0.11966879854395
Alamblak	5	0.862056546011165	0.88769928050175	0.0523660895940082	0.347019629029354	0.334788431172675	0.0163490980214324	109.796657590278	104.728855401655	12.320101457126	9.34395397146014	9.33213729561486	0.11966879854395
Amele	5	0.946155264613682	0.962240053303186	0.0250931939896013	0.236769315876821	0.251148035838346	0.0124997155946753	71.8598122185784	71.3747902790786	7.53880708436714	8.54598017966009	8.65255408719712	0.0730580170761866
Amele	5	0.930321720286714	0.962240053303186	0.0250931939896013	0.242481852748012	0.251148035838346	0.0124997155946753	61.5066309668186	71.3747902790786	7.53880708436714	8.62738809147283	8.65255408719712	0.0730580170761866
Amele	5	0.972347044590391	0.962240053303186	0.0250931939896013	0.248874812468745	0.251148035838346	0.0124997155946753	68.3961698757684	71.3747902790786	7.53880708436714	8.68696365104448	8.65255408719712	0.0730580170761866
Amele	5	0.966680129240711	0.962240053303186	0.0250931939896013	0.266760904684976	0.251148035838346	0.0124997155946753	82.2694748145256	71.3747902790786	7.53880708436714	8.65975870481827	8.65255408719712	0.0730580170761866
Amele	5	0.995696107784431	0.962240053303186	0.0250931939896013	0.260853293413174	0.251148035838346	0.0124997155946753	72.8418635197019	71.3747902790786	7.53880708436714	8.74267980898995	8.65255408719712	0.0730580170761866
